"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Cost","Sale Price","Margin"
"210000002364","","","https://www.usedgames.ca/copy-of-copy-of-probe-used-board-game-1964-i.html?source=bgg","2060","Probe (1964) (used) (H)","1","$0.01","$0.01","$11.95","99.92%"
"210000002365","058482044203","","https://www.usedgames.ca/tri-ominos-nis-board-game-1987.html?source=bgg","4040","Tri-Ominos (1965) (NIS) (Made in 1987)","1","$0.01","$0.01","$16.95","99.94%"
"210000002369","","","https://www.usedgames.ca/copy-of-slang-teasers-vol-1-used-board-game-1983.html?source=bgg","4574","Slang Teasers (1983) (used) (vol 1)","1","$0.01","$0.01","$24.95","99.96%"
"210000002371","056297604520","","https://www.usedgames.ca/copy-of-slang-teasers-vol-1-used-board-game-1983.html","4574","Slang Teasers (1983) (used) (2nd ed.) (Made in 1992)","1","$0.01","$0.01","$18.95","99.95%"
"210000002374","9780978038311","","https://www.usedgames.ca/gift-trap-used-board-game-2007.html?source=bgg","23686","Gift Trap (2006) (Used)","2","$0.00","$0.00","$18.95","100%"
"210000002375","62906813011","","https://www.usedgames.ca/crib-wars-used-board-game-1997-black-box.html?source=bgg","1341","Crib Wars (1997) (used) (Black box)","1","$0.01","$0.01","$34.95","99.97%"
"210000002377","62769015005","","https://www.usedgames.ca/copy-of-crib-wars-used-board-game-1997-black-box.html?source=bgg","1341","Crib Wars (1997) (used) (White box)","1","$0.01","$0.01","$34.95","99.97%"
"210000002378","65356940924","","https://www.usedgames.ca/catch-phrase-used-board-game-2007.html?source=bgg","2582","Catch Phrase! (1994) (used) (Made in 2007)","1","$0.01","$0.01","$24.95","99.96%"
"210000002379","","","https://www.usedgames.ca/wits-wager-used-board-game-2009.html","20100","Wits & Wagers (2005) (used) (Made in 2009)","2","$0.02","$0.01","$19.95","99.95%"
"210000002380","","","https://www.usedgames.ca/post-office-used-board-games-1968.html?source=bgg","24467","Post Office (1968) (used) (O)","1","$0.01","$0.01","$14.95","99.93%"
"210000002384","","","https://www.usedgames.ca/commands-colors-ancients-nis-2nd-edition-white-box.html","14105","Commands & Colors: Ancients (2006)  (NIS) (2nd ed White box) (Made in 2008)","1","$0.01","$0.01","$179.95","99.99%"
"210000002385","9413000000108","","https://www.usedgames.ca/global-ody-see-used-board-game-2008.html?source=bgg","39569","Global Ody-See (2008) (used)","1","$0.01","$0.01","$39.95","99.97%"
"210000002386","068732100702","","https://www.usedgames.ca/nightmare-used-board-game-1991.html?source=bgg","5641","Nightmare (1991) (used)","1","$0.01","$0.01","$74.95","99.99%"
"210000002387","","","https://www.usedgames.ca/beat-detroit-used-board-game-1972.html?source=bgg","1659","Beat Detroit (1972) (used)","1","$0.01","$0.01","$19.95","99.95%"
"210000002388","","","https://www.usedgames.ca/scrabble-sentence-cube-game-used-board-game-1983.html?source=bgg","2356","Scrabble Sentence Cube Game (1971) (used) (Made in 1983)","1","$0.01","$0.01","$19.95","99.95%"
"210000002390","","","https://www.usedgames.ca/diet-the-cheating-mans-game-used-board-game-1972.html","6193","Diet: The Cheating Man's Game (1972) (used)","1","$0.01","$0.01","$24.95","99.96%"
"210000002391","","","https://www.usedgames.ca/flinch-used-card-game-1963.html?source=bgg","2294","Flinch (1903) (used) (made in 1963)","1","$0.01","$0.01","$24.95","99.96%"
"210000002392","","","https://www.usedgames.ca/pounce-used-card-game-1973-est.html","7263","Pounce (1973) (used)","1","$0.01","$0.01","$14.95","99.93%"
"210000002393","","","https://www.usedgames.ca/snag-used-board-game1968.html?source=bgg","100421","Snag (1968) (used)","1","$0.01","$0.01","$29.95","99.97%"
